inequality tolerance,utilities,usw alloc u,usw alloc v,nsw alloc u,nsw alloc v,usw u,usw v,nsw u,nsw v,usw PoI,nsw PoI
0.3,"[[array([0.45133498, 0.22917799, 0.31948703]), array([0.47643153, 0.07519771, 0.44837076])]]","[array([[0., 1., 0.],
       [1., 0., 1.]])]","[array([[ 0.7497838,  1.       , -0.       ],
       [ 0.2502162, -0.       ,  1.       ]])]","[array([[0.71666228, 0.99999999, 0.        ],
       [0.28333772, 0.        , 0.99999999]])]","[array([[0.7497838, 1.       , 0.       ],
       [0.2502162, 0.       , 1.       ]])]",1.1539802823236869,1.135163296696101,0.32238482430191584,0.32214892709100684,0.983693841293635,0.9992682744560951
0.3,"[[array([0.15674682, 0.69947249, 0.1437807 ]), array([0.05823294, 0.59815845, 0.34360861])]]","[array([[1., 1., 0.],
       [0., 0., 1.]])]","[array([[1.        , 0.60496419, 0.        ],
       [0.        , 0.39503581, 1.        ]])]","[array([[0.99999999, 0.67517561, 0.        ],
       [0.        , 0.32482439, 1.        ]])]","[array([[1.        , 0.60496419, 0.        ],
       [0.        , 0.39503581, 1.        ]])]",1.199827912330024,1.1598052433429382,0.33834959009912874,0.3362870500477971,0.9666429922359756,0.9939041154129155
0.3,"[[array([0.09601465, 0.24220022, 0.66178512]), array([0.44743329, 0.12875857, 0.42380813])]]","[array([[0., 1., 1.],
       [1., 0., 0.]])]","[array([[-0.        ,  1.        ,  0.57944465],
       [ 1.        ,  0.        ,  0.42055535]])]","[array([[0.        , 0.99999999, 0.8448824 ],
       [1.        , 0.00000001, 0.1551176 ]])]","[array([[0.        , 1.        , 0.57944465],
       [1.        , 0.        , 0.42055535]])]",1.3514186360261489,1.2513361411188555,0.41122165719285436,0.39146053420550486,0.9259426411333306,0.9519453252480767
0.3,"[[array([0.40936329, 0.40912573, 0.18151098]), array([0.51145934, 0.47090125, 0.01763941])]]","[array([[0.        , 0.00000001, 1.        ],
       [1.        , 0.99999999, 0.        ]])]","[array([[0.        , 0.91002847, 1.        ],
       [1.        , 0.08997153, 0.        ]])]","[array([[0.00000002, 0.82123645, 0.99999999],
       [0.99999998, 0.17876355, 0.        ]])]","[array([[0.        , 0.91002847, 1.        ],
       [1.        , 0.08997153, 0.        ]])]",1.1638715613770516,1.107654081251301,0.3082433075480352,0.30672439053070905,0.9516978659919861,0.9950723438915557
0.3,"[[array([0.06269144, 0.28571522, 0.65159334]), array([0.22117199, 0.61236262, 0.16646539])]]","[array([[0.        , 0.        , 1.        ],
       [0.99999999, 1.        , 0.        ]])]","[array([[ 0.        ,  0.20258965,  1.        ],
       [ 1.        ,  0.79741035, -0.        ]])]","[array([[0., 0., 1.],
       [1., 1., 0.]])]","[array([[ 0.        ,  0.20258965,  1.        ],
       [ 0.99999999,  0.79741035, -0.        ]])]",1.4851279421867183,1.4189525640964606,0.5431255963094285,0.5033565944799464,0.9554412948470822,0.9267775223636764
0.3,"[[array([0.24741628, 0.61965079, 0.13293294]), array([0.35037932, 0.39886426, 0.25075642])]]","[array([[0.00000001, 1.        , 0.        ],
       [0.99999999, 0.        , 1.        ]])]","[array([[0.        , 0.98182153, 0.        ],
       [1.        , 0.01817847, 1.        ]])]","[array([[0., 1., 0.],
       [1., 0., 1.]])]","[array([[0.        , 0.98182153, 0.        ],
       [1.        , 0.01817847, 1.        ]])]",1.2207865240122162,1.2167729635150994,0.3724942327202935,0.3701341108437337,0.9967123158568905,0.9936640042469274
0.3,"[[array([0.00403838, 0.48809785, 0.50786378]), array([0.01563986, 0.47538258, 0.50897756])]]","[array([[0.00000001, 0.99999998, 0.00000025],
       [0.99999998, 0.00000002, 0.99999975]])]","[array([[0.        , 1.        , 0.03591472],
       [1.        , 0.        , 0.96408528]])]","[array([[0.00000004, 0.99999998, 0.03482365],
       [0.99999993, 0.00000002, 0.96517634]])]","[array([[0.00000001, 0.99999999, 0.03591473],
       [0.99999998, 0.00000001, 0.96408527]])]",1.0127152632553877,1.0126752631268237,0.2563781035880782,0.2563777967302569,0.9999605020976622,0.9999988031044109
0.3,"[[array([0.34766787, 0.32804907, 0.32428306]), array([0.35783575, 0.32885056, 0.31331369])]]","[array([[0.        , 0.00000001, 1.        ],
       [1.        , 0.99999999, 0.        ]])]","[array([[0.       , 0.5516874, 1.       ],
       [1.       , 0.4483126, 0.       ]])]","[array([[0.00000014, 0.54981055, 0.99999992],
       [0.99999986, 0.45018945, 0.00000008]])]","[array([[0.00000004, 0.55168739, 0.99999996],
       [0.99999995, 0.44831261, 0.00000004]])]",1.010969367976903,1.0105272007286854,0.2552916828743734,0.25529130490501756,0.9995626304196512,0.9999985194607532
0.3,"[[array([0.62688408, 0.29670797, 0.07640795]), array([0.04010732, 0.12676228, 0.83313039])]]","[array([[1.        , 0.99999999, 0.        ],
       [0.        , 0.        , 1.        ]])]","[array([[ 1.        ,  0.78638014, -0.        ],
       [ 0.        ,  0.21361986,  1.        ]])]","[array([[1.        , 0.99999999, 0.        ],
       [0.        , 0.00000001, 1.        ]])]","[array([[ 1.        ,  0.78638014, -0.        ],
       [ 0.        ,  0.21361986,  1.        ]])]",1.7567224410478648,1.720418672289285,0.7694726067323404,0.7399601019213375,0.9793343741103887,0.9616458018741806
0.3,"[[array([0.2946963 , 0.41087579, 0.29442791]), array([0.32559234, 0.27146559, 0.40294207])]]","[array([[0., 1., 0.],
       [1., 0., 1.]])]","[array([[ 0.51211419,  1.        ,  0.        ],
       [ 0.48788581, -0.        ,  1.        ]])]","[array([[0.42166577, 1.        , 0.        ],
       [0.57833423, 0.        , 0.99999999]])]","[array([[0.51211419, 1.        , 0.        ],
       [0.48788581, 0.        , 1.        ]])]",1.1394101967421921,1.1235878977660034,0.3163974060146334,0.31561244060200705,0.9861136059503172,0.9975190523129951
0.3,"[[array([0.36349108, 0.30945834, 0.32705058]), array([0.2686662 , 0.47083905, 0.26049476])]]","[array([[0.99999999, 0.        , 0.99999998],
       [0.00000001, 1.        , 0.00000002]])]","[array([[1.        , 0.        , 0.62606697],
       [0.        , 1.        , 0.37393303]])]","[array([[0.99999998, 0.        , 0.84802921],
       [0.00000002, 1.        , 0.15197079]])]","[array([[0.99999999, 0.        , 0.62606698],
       [0.00000001, 1.        , 0.37393302]])]",1.1613806991607574,1.13649328044347,0.32710156208215213,0.3229042435565746,0.9785708349249547,0.9871681489416936
0.3,"[[array([0.56900853, 0.38905574, 0.04193572]), array([0.15496085, 0.31627068, 0.52876847])]]","[array([[1.        , 0.99999999, 0.        ],
       [0.        , 0.        , 1.        ]])]","[array([[ 1.        ,  0.39135159, -0.        ],
       [ 0.        ,  0.60864841,  1.        ]])]","[array([[1.        , 0.60467428, 0.        ],
       [0.        , 0.39532572, 1.        ]])]","[array([[1.        , 0.39135159, 0.        ],
       [0.        , 0.60864841, 1.        ]])]",1.486832744756882,1.4425322356946513,0.5258242548417731,0.5202248121943714,0.9702047797787272,0.989351113806862
0.3,"[[array([0.10201031, 0.55579915, 0.34219054]), array([0.22453678, 0.40332306, 0.37214017])]]","[array([[0., 1., 0.],
       [1., 0., 1.]])]","[array([[0.        , 1.        , 0.05722531],
       [1.        , 0.        , 0.94277469]])]","[array([[0.        , 1.        , 0.00000009],
       [1.        , 0.        , 0.99999991]])]","[array([[0.        , 1.        , 0.05722531],
       [1.        , 0.        , 0.94277469]])]",1.1524760930335853,1.1507622163533486,0.33163253649790825,0.3310634192963166,0.9985128744183097,0.9982838921427867
0.3,"[[array([0.20947281, 0.69520354, 0.09532365]), array([0.04276783, 0.53318475, 0.42404742])]]","[array([[1., 1., 0.],
       [0., 0., 1.]])]","[array([[1.        , 0.60873208, 0.        ],
       [0.        , 0.39126792, 1.        ]])]","[array([[0.99999999, 0.7469995 , 0.        ],
       [0.        , 0.2530005 , 1.        ]])]","[array([[1.        , 0.60873208, 0.        ],
       [0.        , 0.39126792, 1.        ]])]",1.3287237660454683,1.2653310129549344,0.40735210263807453,0.4002656426932745,0.9522904950521036,0.9826036004260025
0.3,"[[array([0.14186019, 0.40467304, 0.45346678]), array([0.27620061, 0.52207272, 0.20172667])]]","[array([[0., 0., 1.],
       [1., 1., 0.]])]","[array([[ 0.        ,  0.37206165,  1.        ],
       [ 1.        ,  0.62793835, -0.        ]])]","[array([[0.00000001, 0.20423495, 1.        ],
       [0.99999999, 0.79576505, 0.        ]])]","[array([[0.        , 0.37206165, 1.        ],
       [1.        , 0.62793835, 0.        ]])]",1.2517401080416681,1.2080601873527037,0.37080288439410974,0.36485235355156537,0.9651046408049502,0.9839523070262317
0.3,"[[array([0.20557116, 0.34101958, 0.45340926]), array([0.49823742, 0.16691305, 0.33484953])]]","[array([[0., 1., 1.],
       [1., 0., 0.]])]","[array([[-0.        ,  1.        ,  0.62424596],
       [ 1.        ,  0.        ,  0.37575404]])]","[array([[0.        , 0.99999999, 0.86791055],
       [1.        , 0.00000001, 0.13208945]])]","[array([[0.        , 1.        , 0.62424597],
       [1.        , 0.        , 0.37575403]])]",1.2926662587077482,1.2481169633918325,0.3984631392029267,0.3894489880357387,0.9655368932113609,0.9773777037815351
0.3,"[[array([0.61535585, 0.08391112, 0.30073303]), array([0.75421336, 0.11089256, 0.13489408])]]","[array([[0.00000001, 0.00000007, 0.99999999],
       [0.99999999, 0.99999993, 0.00000001]])]","[array([[0.41208059, 0.        , 1.        ],
       [0.58791941, 1.        , 0.        ]])]","[array([[0.32915831, 0.00000012, 0.99999999],
       [0.67084169, 0.99999987, 0.        ]])]","[array([[0.41208059, 0.00000002, 1.        ],
       [0.58791941, 0.99999998, 0.        ]])]",1.1658389497597739,1.1086184706250655,0.3104499878245725,0.30725872800318227,0.9509190534880492,0.9897205348798611
0.3,"[[array([0.02521889, 0.44439579, 0.53038532]), array([0.44392794, 0.11386145, 0.44221062])]]","[array([[0.        , 1.        , 0.99999999],
       [1.        , 0.        , 0.00000001]])]","[array([[-0.       ,  1.       ,  0.4541894],
       [ 1.       ,  0.       ,  0.5458106]])]","[array([[0.        , 1.        , 0.58300634],
       [1.        , 0.        , 0.41699366]])]","[array([[0.       , 1.       , 0.4541894],
       [1.       , 0.       , 0.5458106]])]",1.4187090427160745,1.3705823567910986,0.4735158624938866,0.4696239989465664,0.9660771275321973,0.9917809225506771
0.3,"[[array([0.35383432, 0.37310555, 0.27306013]), array([0.05191533, 0.42674912, 0.52133556])]]","[array([[1.        , 0.00000003, 0.        ],
       [0.        , 0.99999996, 1.        ]])]","[array([[1.        , 0.74294791, 0.        ],
       [0.        , 0.25705209, 1.        ]])]","[array([[1.        , 0.63664753, 0.        ],
       [0.        , 0.36335247, 1.        ]])]","[array([[1.        , 0.74294791, 0.        ],
       [0.        , 0.25705209, 1.        ]])]",1.3019189882552844,1.2620646209192645,0.40000095393836765,0.39820177663647993,0.9693879821282666,0.9955020674721567
